PixelID,Latitude,Longitude,Timestamp,LST,NDVI,NDBI,NDWI,MNDWI,SAVI,Albedo,Impervious_Frac,LULC_ESA,LULC_DW,Population_Density,Building_Height,Building_Density,Building_Volume,Road_Density_Proxy,Street_Width_Proxy,Tree_Cover_Pct,Dist_Water,Dist_Green,Elevation,Slope,Aspect,AirTemp,Humidity,WindSpeed,WindDirection,SolarRadiation,Cloud_Cover_Proxy,Pressure,Rainfall,Nighttime_Lights,UHI_Intensity,UTFVI,UTCI_Approx,Anthropogenic_Heat,Green_Space_Density,Surface_Roughness,QualityScore,LULC_ESA_Trees,LULC_ESA_Shrubland,LULC_ESA_Grassland,LULC_ESA_Cropland,LULC_ESA_Built_up,LULC_ESA_Bare,LULC_ESA_Water,LULC_DW_Water,LULC_DW_Trees,LULC_DW_Grass,LULC_DW_Flooded_Veg,LULC_DW_Crops,LULC_DW_Shrub,LULC_DW_Built,LULC_DW_Bare,AirTemp_zscore,Albedo_norm,Anthropogenic_Heat_zscore,Aspect_cos,Aspect_sin,Building_Density_zscore,Building_Height_zscore,Building_Volume_zscore,Dist_Green_zscore,Dist_Water_zscore,Elevation_zscore,Green_Space_Density_norm,Humidity_zscore,Impervious_Frac_norm,LST_zscore,MNDWI_norm,NDBI_norm,NDVI_norm,NDWI_norm,Nighttime_Lights_zscore,Population_Density_zscore,Pressure_zscore,QualityScore_norm,Rainfall_zscore,Road_Density_Proxy_norm,SAVI_norm,Slope_zscore,SolarRadiation_zscore,Surface_Roughness_zscore,Tree_Cover_Pct_norm,UHI_Intensity_zscore,UTFVI_zscore,WindDirection_cos,WindDirection_sin,WindSpeed_zscore
0,28.497299,77.281465,2024-03-01_to_2024-06-30,38.050000,0.130700,-0.040800,-0.227300,-0.321000,0.130700,0.105300,0,60,3,15.500000,3.490000,8.060000,28.130000,0.020700,5.517500,7.600000,4786.100000,1142.500000,247.100000,4.050000,2.300000,36.100000,26.060000,1.800000,234.000000,262.670000,0.249500,1003.620000,33.070000,3.400000,2.050000,0.001400,33.700000,0.084700,0.013900,1.230000,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.554740,0.092730,-0.113207,0.999194,0.040132,-0.208688,-0.174514,-0.315060,0.181330,1.546003,0.342244,0.017948,-1.657601,0.000000,0.413751,0.215381,0.399722,0.256618,0.247997,-0.482328,-0.430191,0.148045,0.000000,-0.950758,0.201368,0.256618,1.045233,0.332434,-1.431698,0.095000,0.413751,0.414401,-0.587785,-0.809017,-1.001195
1,28.487540,77.146953,2024-03-01_to_2024-06-30,33.690000,0.208500,-0.232700,-0.465200,-0.410600,0.208500,0.346000,0,40,3,24.500000,3.170000,0.710000,2.250000,-0.035100,5.000000,13.000000,2311.300000,955.900000,253.600000,3.510000,246.100000,31.990000,40.210000,2.810000,300.300000,272.580000,0.221200,994.070000,53.290000,5.340000,-2.310000,-0.113500,29.300000,0.022000,0.138800,5.660000,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1.485353,0.985534,-0.525598,-0.405142,-0.914254,-0.579487,-0.227352,-0.377915,-0.006824,-0.152400,0.624197,0.180388,-0.414031,0.000000,-0.469391,0.144924,0.103672,0.343159,0.031409,-0.331347,-0.407717,-1.162254,0.000000,-0.478471,0.108275,0.343159,0.673203,0.574240,0.617725,0.162500,-0.469391,-0.469999,0.504528,-0.863396,-0.130003
2,28.584249,77.078857,2024-03-01_to_2024-06-30,36.450000,0.563800,-0.125300,-0.057700,-0.129100,0.563800,0.117700,0,30,4,59.600000,0.800000,1.530000,1.220000,0.088500,7.212500,69.900000,1923.800000,59.600000,239.500000,3.780000,310.000000,33.660000,42.140000,3.330000,130.300000,270.000000,0.228600,1014.930000,20.750000,6.800000,0.450000,-0.040900,30.230000,0.055300,0.413800,2.390000,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-0.656410,0.138724,-0.306577,0.642788,-0.766044,-0.538119,-0.618687,-0.380417,-0.910588,-0.418333,0.012577,0.538041,-0.244414,0.000000,0.089662,0.366281,0.269361,0.738376,0.402403,-0.217723,-0.320070,1.699823,0.125000,-1.238521,0.314481,0.738376,0.859218,0.511287,-0.895054,0.873750,0.089662,0.088813,-0.646790,0.762668,0.318531
3,28.694480,77.161053,2024-03-01_to_2024-06-30,35.510000,0.716600,-0.048100,-0.014100,-0.012500,0.716600,0.108700,0,30,4,98.500000,0.560000,4.890000,2.740000,0.046400,6.160000,73.700000,4033.900000,23.900000,273.800000,4.590000,215.600000,36.130000,45.310000,1.800000,134.600000,286.670000,0.180900,994.040000,143.020000,3.630000,-0.490000,-0.065500,34.390000,0.007900,0.444600,4.760000,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.569631,0.105341,-0.618337,-0.813101,-0.582123,-0.368611,-0.658316,-0.376725,-0.946586,1.029784,1.500418,0.578099,0.034181,0.000000,-0.100740,0.457970,0.388460,0.908343,0.442098,-0.464428,-0.222933,-1.166370,0.062500,1.617391,0.244244,0.908343,1.417262,0.918039,0.201364,0.921250,-0.100740,-0.100537,-0.702153,0.712026,-1.001195
4,28.502417,77.201585,2024-03-01_to_2024-06-30,30.270000,0.626900,-0.225900,-0.230400,-0.290100,0.626900,0.164200,0,20,5,86.000000,1.140000,6.310000,7.190000,0.087100,7.177500,57.500000,354.300000,23.800000,218.400000,1.100000,25.600000,34.520000,45.700000,1.480000,80.900000,282.190000,0.193700,998.450000,88.250000,9.050000,-5.730000,-0.203400,33.290000,0.013200,0.523200,2.110000,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.229529,0.311202,-0.583477,0.901833,0.432086,-0.296974,-0.562546,-0.365917,-0.946686,-1.495448,-0.902684,0.680323,0.068456,0.000000,-1.162131,0.239679,0.114162,0.808565,0.245175,-0.042616,-0.254147,-0.561300,0.875000,0.338105,0.312145,0.808565,-0.987150,0.808726,-1.024589,0.718750,-1.162131,-1.161971,0.158158,0.987414,-1.277216
5,28.521023,77.088079,2024-03-01_to_2024-06-30,35.140000,0.240100,-0.044800,-0.163300,-0.243600,0.240100,0.188700,0,40,5,65.200000,4.280000,8.080000,34.580000,-0.018700,5.000000,12.000000,2702.900000,241.300000,237.000000,4.370000,27.100000,35.880000,29.370000,1.770000,193.100000,317.780000,0.092100,993.500000,27.520000,0.980000,-0.860000,-0.075200,33.880000,0.023600,0.014000,6.150000,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.445538,0.402077,-0.515074,0.890213,0.455545,-0.207679,-0.044069,-0.299394,-0.727375,0.116347,-0.095866,0.018078,-1.366702,0.000000,-0.175686,0.276244,0.393551,0.378309,0.306264,-0.670664,-0.306086,-1.240461,0.875000,-1.080391,0.135636,0.378309,1.265695,1.677130,0.844411,0.150000,-0.175686,-0.175199,-0.973976,-0.226651,-1.027072
6,28.513291,77.059647,2024-03-01_to_2024-06-30,27.570000,0.585600,-0.056200,-0.134700,-0.102400,0.585600,0.211400,0,10,3,18.600000,4.800000,1.570000,7.540000,-0.050800,5.000000,51.900000,2975.200000,67.500000,246.700000,2.510000,307.000000,37.900000,63.750000,3.320000,195.200000,289.670000,0.172400,1008.700000,8.570000,0.800000,-8.430000,-0.274600,34.870000,0.089000,0.361700,1.400000,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.448211,0.486276,-0.084925,0.601815,-0.798636,-0.536101,0.041793,-0.365067,-0.902623,0.303220,0.324893,0.470282,1.654776,0.000000,-1.709031,0.387277,0.375964,0.762625,0.332302,-0.684673,-0.422450,0.845041,0.000000,-1.523015,0.082082,0.762625,-0.015740,0.991240,-1.353052,0.648750,-1.709031,-1.710007,-0.965016,-0.262189,0.309905
7,28.633468,77.153911,2024-03-01_to_2024-06-30,42.270000,-0.033600,0.132700,-0.177200,-0.091400,-0.033600,0.332600,1,50,0,1466.400000,11.470000,52.170000,598.390000,0.149700,8.742500,6.900000,3058.400000,2964.300000,274.700000,4.400000,316.500000,37.970000,64.940000,4.980000,26.400000,244.010000,0.302800,995.330000,39.780000,53.350000,6.270000,0.112300,32.860000,0.672000,0.098100,0.560000,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.482957,0.935831,3.749592,0.725374,-0.688355,2.016612,1.143144,1.069954,2.018302,0.360319,1.539458,0.127455,1.759359,1.000000,1.268535,0.395927,0.667387,0.073860,0.293609,3.405032,3.192823,-0.989377,0.125000,-0.794029,0.416583,0.073860,1.286363,-0.122875,-1.741656,0.086250,1.268535,1.268013,0.895712,0.444635,1.741765
8,28.730814,77.281725,2024-03-01_to_2024-06-30,36.520000,0.602900,-0.059400,-0.073500,-0.123300,0.602900,0.325200,0,10,0,88.300000,0.050000,4.280000,0.210000,-0.074500,5.000000,43.700000,4519.600000,54.600000,221.000000,3.710000,198.600000,36.350000,41.940000,2.110000,1.300000,250.760000,0.283500,1009.280000,95.570000,0.750000,0.520000,-0.038900,33.980000,0.014800,0.553000,4.870000,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.678833,0.908383,-0.572954,-0.947768,-0.318959,-0.399385,-0.742527,-0.382870,-0.915630,1.363110,-0.789903,0.719079,-0.261991,0.000000,0.103841,0.370842,0.371027,0.781869,0.388019,-0.688564,-0.248403,0.924620,0.500000,0.509081,0.042543,0.781869,0.810992,0.041827,0.252252,0.546250,0.103841,0.104207,0.999743,0.022687,-0.733799
9,28.475868,77.166343,2024-03-01_to_2024-06-30,29.390000,0.268000,0.006100,0.586900,0.672100,0.268000,0.143900,0,80,2,10.800000,1.330000,8.110000,10.790000,-0.039000,5.000000,14.600000,4360.800000,2604.100000,274.500000,4.010000,311.100000,32.300000,57.430000,4.530000,8.900000,284.930000,0.185900,1008.410000,49.830000,7.870000,-6.610000,-0.226600,28.060000,0.046000,0.033400,6.620000,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.331477,0.235905,-0.367745,0.657375,-0.753563,-0.206166,-0.531173,-0.357174,1.655102,1.254129,1.530782,0.043309,1.099344,0.000000,-1.340380,0.996304,0.472077,0.409344,0.989257,-0.134450,-0.441927,0.805252,0.375000,-0.559287,0.101768,0.409344,1.017675,0.875583,1.061844,0.182500,-1.340380,-1.340545,0.987960,0.154710,1.353610
